Num_repo	MAE	RMSE	max rt	Relative MAE (%)	Relative RMSE (%)
0335	38.5	48.0	456.42	8.44	10.52
0336	33.75	47.9	440.52	7.66	10.88
0337	33.25	44.72	428.16	7.76	10.44
0338	28.48	37.94	435.36	6.54	8.71
0339	23.83	29.77	427.5	5.57	6.96
0340	35.06	57.9	441.66	7.94	13.11
0342	67.0	85.44	414.18	16.18	20.63
0343	25.81	32.66	523.74	4.93	6.24
0344	61.56	77.56	470.4	13.09	16.49
0345	22.9	32.9	588.0	3.89	5.6
0346	30.69	40.56	464.28	6.61	8.74
0347	27.6	33.78	536.16	5.15	6.3
0348	30.55	37.94	500.76	6.1	7.58
0349	32.38	51.28	587.64	5.51	8.73
0350	32.47	46.03	461.1	7.04	9.98
0351	32.3	44.22	469.26	6.89	9.42
0352	35.97	43.88	552.66	6.51	7.94
0353	38.38	49.22	459.3	8.36	10.71
0354	28.1	37.38	528.48	5.32	7.07
0355	19.58	29.14	465.12	4.21	6.27
0356	40.12	50.88	555.42	7.22	9.16
0359	214.1	224.8	480.0	44.6	46.83
0360	157.0	169.2	900.0	17.44	18.81
0363	55.22	64.25	1168.98	4.72	5.5
0364	33.38	39.03	1035.0	3.23	3.77
0365	43.1	52.8	1030.5	4.18	5.12
0366	42.88	46.28	1117.02	3.84	4.14
0367	38.7	55.28	1028.52	3.76	5.37
0368	44.56	53.66	1160.52	3.84	4.62
0369	59.2	64.9	1161.48	5.1	5.59
0370	102.3	154.5	860.52	11.89	17.95
0371	122.94	181.8	919.5	13.37	19.77
0372	108.6	139.0	1089.0	9.98	12.77
0373	53.66	74.5	1126.02	4.76	6.61
0374	139.5	198.5	1102.02	12.66	18.02
0375	53.06	84.8	1129.5	4.7	7.51
0376	139.8	150.9	1126.98	12.4	13.39
0377	109.1	160.0	1107.0	9.86	14.45
0378	96.3	157.2	1130.52	8.52	13.91
0379	33.22	47.94	1137.0	2.92	4.21
0380	49.47	70.1	1110.0	4.46	6.32
0381	33.34	41.72	1132.5	2.94	3.68
0382	42.88	70.5	966.0	4.44	7.3
0383	58.72	82.7	966.0	6.08	8.56
0384	48.03	67.4	869.4	5.53	7.75
0385	95.06	130.0	1173.6	8.1	11.08
0386	103.2	132.2	1225.2	8.42	10.79
0387	103.56	124.2	1020.6	10.15	12.17
0388	125.75	170.2	1266.6	9.93	13.44
0389	142.8	169.0	1315.2	10.85	12.85
0390	19.88	26.9	445.79	4.46	6.03
0391	19.05	28.3	447.76	4.25	6.32
0392	29.52	49.7	678.98	4.35	7.32
0393	372.0	423.8	1929.84	19.27	21.95
0394	73.4	95.9	831.2	8.83	11.53
0395	157.8	193.5	937.56	16.83	20.63
0396	65.44	86.1	487.8	13.42	17.66
0397	112.8	138.1	2029.2	5.56	6.81
0398	119.3	204.6	1212.0	9.84	16.88
0399	62.6	95.4	852.0	7.35	11.19
0400	21.75	36.3	322.4	6.75	11.27
0401	27.34	41.78	323.64	8.45	12.92
0402	12.92	20.23	322.81	4.0	6.27
0403	10.164	15.58	323.7	3.14	4.81
0404	149.5	201.6	1331.14	11.23	15.14
0405	66.3	74.9	1318.0	5.03	5.68
0406	212.6	369.2	1753.8	12.12	21.06
0407	109.4	133.1	1276.2	8.57	10.43
0409	56.75	83.25	1689.0	3.36	4.93
0410	140.9	206.8	1629.0	8.65	12.69
0411	22.75	32.72	468.6	4.86	6.98
0412	37.84	46.75	716.4	5.28	6.53
0413	125.4	152.1	1896.0	6.61	8.03
0414	103.44	147.8	1648.8	6.27	8.96
0415	59.72	85.7	1274.4	4.69	6.72
0416	24.31	33.5	457.8	5.31	7.32
0417	34.5	54.0	585.0	5.9	9.23
0418	100.7	145.0	2053.2	4.91	7.06
0419	35.6	42.78	480.0	7.42	8.92
0420	137.2	170.2	1792.8	7.66	9.5
0421	154.4	199.8	1506.0	10.25	13.26
0422	20.48	26.52	732.0	2.8	3.62
0423	112.0	153.1	960.0	11.67	15.95
0424	175.8	206.9	1614.0	10.88	12.82
0425	77.2	105.8	880.2	8.77	12.02
0426	195.5	245.4	1093.2	17.89	22.45
0427	116.9	184.4	2130.6	5.49	8.65
0428	23.3	27.36	1003.8	2.32	2.73
0429	39.06	55.6	624.0	6.26	8.91
0430	32.3	53.75	1215.6	2.66	4.42
0431	17.69	22.19	258.0	6.86	8.6
0432	209.0	268.5	1248.0	16.74	21.51
0433	94.44	133.0	1500.0	6.29	8.86
0434	61.38	87.94	1494.0	4.11	5.88
0435	272.8	348.5	1500.0	18.19	23.23
0436	43.56	57.88	918.0	4.75	6.31
0437	54.2	72.5	1288.38	4.21	5.63
0438	75.56	116.25	2013.84	3.75	5.77
